source_id,title,author,year,authority,doi,evidence_level
1,International Framework for Red Flags for Potential Serious Spinal Pathologies,Finucane L,2020,Journal of Orthopaedic and Sports Physical Therapy,https://doi.org/10.2519/jospt.2020.9971,SRMA
2,The diagnostic value of Red Flags in thoracolumbar pain: a systematic review,Maselli F,2022,Disability and Rehabilitation,https://doi.org/10.1080/09638288.2020.1804626,SRMA
3,The use of red flags in screening patients in physiotherapy: narrative review.,Maselli F,2019,University of Genova,https://hdl.handle.net/20.500.14242/101517,SRMA
4,The Global and Regional Prevalence of Abdominal Aortic Aneurysms: A Systematic Review and Modeling Analysis,"Song, Peige",2023,Annals of Surgery,https://doi.org/10.1097/SLA.0000000000005716,SRMA
5,Patients with inferior vena cava thrombosis frequently present with lower back pain and bilateral lower-extremity deep vein thrombosis,"Kraft, Christiane",2013,European Journal of Vascular Medicine,https://doi.org/10.1024/0301-1526/a000288,OBS
6,Diagnosis of Venous Thromboembolism,"Canas, Alicia",2025,Medical Clinics,https://10.1016/j.mcna.2025.01.006,SRMA
